"distribution","sample_size","replications","method","global_ise","global_squared_bias","global_variance","boundary_ise","boundary_squared_bias","boundary_variance","finite_rate","mean_floor_ratio","minimum_density","maximum_mass_error"
"exponential",100,30,"current",0.0165472389855547,0.00205016560497188,0.0144970733805828,0.0106234994208158,0.00126599700538637,0.00935750241542941,NA,NA,1.87620764495024e-15,1.11022302462516e-16
"exponential",100,30,"fixed-15pct",0.0164068280322217,0.00176173524182124,0.0146450927904004,0.0104884088522769,0.000969273783595678,0.00951913506868119,0.666666666666667,2.26138933228023,0,1.11022302462516e-16
"exponential",100,30,"fixed-20pct",0.0157245002505956,0.00165925024528034,0.0140652500053152,0.00977827871653413,0.000871272403187169,0.00890700631334696,0.666666666666667,2.72230964287038,1.8683320459021e-15,1.11022302462516e-16
"exponential",100,30,"fixed-25pct",0.0154464207902959,0.00159454865963953,0.0138518721306564,0.0094772157298769,0.00081402806341869,0.00866318766645821,0.666666666666667,3.3746911588894,1.86756569172953e-15,1.11022302462516e-16
"exponential",100,30,"fixed-30pct",0.0152787565880896,0.00159907933870905,0.0136796772493806,0.00929504572248738,0.000818405451515906,0.00847664027097147,0.666666666666667,4.09079193231902,1.87053078117119e-15,1.11022302462516e-16
"exponential",100,30,"fixed-35pct",0.0150985550244765,0.00157889875105775,0.0135196562734187,0.00910619553077884,0.00080019644459805,0.00830599908618079,0.666666666666667,4.74814780644128,1.87467719387415e-15,1.11022302462516e-16
"exponential",100,30,"fixed-40pct",0.0148474205746887,0.00152076471560491,0.0133266558590838,0.00886082377495489,0.000749827554669101,0.00811099622028579,0.666666666666667,5.28142581925347,1.87508377257283e-15,2.22044604925031e-16
"exponential",100,30,"fixed-50pct",0.0144525145480613,0.00140802584850766,0.0130444886995537,0.00850068136672482,0.000655265975954673,0.00784541539077015,0.666666666666667,6.6658845934232,1.87677765384802e-15,1.11022302462516e-16
"exponential",100,30,"fixed-75pct",0.013372535861314,0.0011785272962235,0.0121940085650905,0.00753230138812056,0.000480751354051795,0.00705155003406876,0.666666666666667,11.0333560732554,1.8732244279489e-15,1.11022302462516e-16
"exponential",100,30,"fixed-100pct",0.0122027604558946,0.00112660422901432,0.0110761562268802,0.00650597734670406,0.000461015912509725,0.00604496143419433,0.666666666666667,25.0263770275047,1.87799591395489e-15,1.11022302462516e-16
"exponential",100,30,"shrinking",0.017856701300014,0.00171894251195662,0.0161377587880574,0.0119985964464945,0.000950185514962622,0.0110484109315318,0.666666666666667,1.53936144201145,0,1.11022302462516e-16
"exponential",1000,30,"current",0.00240917299788813,0.000470619160762849,0.00193855383712528,0.00165537707098662,0.000403802822230112,0.00125157424875651,NA,NA,1.84245192195729e-08,1.11022302462516e-16
"exponential",1000,30,"fixed-15pct",0.00226862893387558,0.000267541194142079,0.0020010877397335,0.00151319998629151,0.000204448971019676,0.00130875101527183,0.8,4.74481059084514,1.84460227396814e-08,1.11022302462516e-16
"exponential",1000,30,"fixed-20pct",0.00225442266571058,0.000262749740050737,0.00199167292565984,0.00149821118453056,0.000200035780791981,0.00129817540373858,0.8,5.98252748718848,1.84548529261594e-08,1.11022302462516e-16
"exponential",1000,30,"fixed-25pct",0.00223163792088978,0.000257242065644417,0.00197439585524536,0.0014751821032443,0.000194947305987805,0.00128023479725649,0.8,7.22495317992321,1.84584351924974e-08,2.22044604925031e-16
"exponential",1000,30,"fixed-30pct",0.00221870029017855,0.000252826191135576,0.00196587409904297,0.00146218422878417,0.000190827664872001,0.00127135656391217,0.8,8.52165916461346,1.84604292036413e-08,1.11022302462516e-16
"exponential",1000,30,"fixed-35pct",0.00219384531132905,0.000247241712589002,0.00194660359874005,0.00143795550079077,0.000185653506736015,0.00125230199405476,0.8,9.8649716598902,1.84610565220666e-08,1.11022302462516e-16
"exponential",1000,30,"fixed-40pct",0.00217145301439129,0.000242349204881074,0.00192910380951022,0.00141640854005911,0.000181158632597437,0.00123524990746168,0.8,11.0937383479702,1.84608070901668e-08,2.22044604925031e-16
"exponential",1000,30,"fixed-50pct",0.00211986240298299,0.000235244426606243,0.00188461797637675,0.00136696335158836,0.00017465441086855,0.00119230894071981,0.8,14.2235753638748,1.84549854155193e-08,1.11022302462516e-16
"exponential",1000,30,"fixed-75pct",0.00193955914179103,0.000214004486169561,0.00172555465562147,0.00119551447318874,0.000155328617762214,0.00104018585542653,0.8,23.6847920686692,1.84070208807465e-08,1.11022302462516e-16
"exponential",1000,30,"fixed-100pct",0.00179827087563706,0.000210590735373438,0.00158768014026362,0.0010637085141229,0.000152188847628034,0.00091151966649487,0.8,59.0059636907067,1.83724706743234e-08,1.11022302462516e-16
